"","iati_id","budget","recipient_country","recipient_percentage"
"409","T05-EUTF-HOA-SD-65",2.5e+07,"SD","100.0"
"410","T05-EUTF-HOA-SD-64",1.5e+07,"SD","100.0"
"411","T05-EUTF-HOA-SD-63",1e+07,"SD","100.0"
"412","T05-EUTF-NOA-REG-06",2e+07,"EG","33.0"
"413","T05-EUTF-NOA-REG-06",2e+07,"MA","33.0"
"414","T05-EUTF-NOA-REG-06",2e+07,"TN","33.0"
"415","T05-EUTF-NOA-LY-07",1.5e+07,"LY","100.0"
"416","CTR - Mission d'appui aux acteurs du programme de renforcement de la résilience à l'insécurité alimentaire et nutritionnelle au Nord mali (Key)",1500000,"ML","100.0"
"417","T05-EUTF-NOA-MA-05",4.4e+07,"MA","100.0"
"418","T05-EUTF-NOA-MA-04",8e+06,"MA","100.0"
"419","T05-EUTF-REG-REG-05",9813810,"BF",
"420","T05-EUTF-REG-REG-05",9813810,"BJ",
"421","T05-EUTF-REG-REG-05",9813810,"CI",
"422","T05-EUTF-REG-REG-05",9813810,"CM",
"423","T05-EUTF-REG-REG-05",9813810,"CV",
"424","T05-EUTF-REG-REG-05",9813810,"DJ",
"425","T05-EUTF-REG-REG-05",9813810,"ER",
"426","T05-EUTF-REG-REG-05",9813810,"ET",
